Instrument:,H2S-240708934,,,,
"3/2/2026, 10:54:14 AM",3.613,44.4,27.9,0,2026-03-02T15:54:14.000Z
"3/2/2026, 10:57:14 AM",3.613,44.2,28.6,0,2026-03-02T15:57:14.000Z
"3/2/2026, 11:00:14 AM",3.612,44.1,29.8,0,2026-03-02T16:00:14.000Z
"3/2/2026, 11:03:14 AM",3.612,44.1,31.2,0,2026-03-02T16:03:14.000Z
"3/2/2026, 11:06:14 AM",3.612,44.1,32.9,0,2026-03-02T16:06:14.000Z
"3/2/2026, 11:09:14 AM",3.612,44.1,34.7,0,2026-03-02T16:09:14.000Z
"3/2/2026, 11:12:14 AM",3.612,44.2,36.6,0,2026-03-02T16:12:14.000Z
"3/2/2026, 11:15:14 AM",3.612,44.2,38.6,0,2026-03-02T16:15:14.000Z
"3/2/2026, 11:18:14 AM",3.612,44.2,40.7,0,2026-03-02T16:18:14.000Z
"3/2/2026, 11:21:14 AM",3.611,44.2,42.7,0,2026-03-02T16:21:14.000Z
"3/2/2026, 11:24:14 AM",3.611,44.2,44.7,0,2026-03-02T16:24:14.000Z
"3/2/2026, 11:27:14 AM",3.611,44.2,46.6,0,2026-03-02T16:27:14.000Z
"3/2/2026, 11:30:14 AM",3.611,44.1,48.4,0,2026-03-02T16:30:14.000Z
"3/2/2026, 11:33:14 AM",3.611,44.1,49.9,0,2026-03-02T16:33:14.000Z
"3/2/2026, 11:36:14 AM",3.61,44.1,51.3,0,2026-03-02T16:36:14.000Z
"3/2/2026, 11:39:14 AM",3.611,44.2,52.5,0,2026-03-02T16:39:14.000Z
"3/2/2026, 11:42:14 AM",3.61,44.2,53.6,0,2026-03-02T16:42:14.000Z
"3/2/2026, 11:45:14 AM",3.61,44.4,54.7,0,2026-03-02T16:45:14.000Z
"3/2/2026, 11:48:14 AM",3.61,44.6,55.7,0,2026-03-02T16:48:14.000Z
"3/2/2026, 11:51:14 AM",3.61,44.8,56.6,0,2026-03-02T16:51:14.000Z
"3/2/2026, 11:54:14 AM",3.61,44.8,57.5,0,2026-03-02T16:54:14.000Z
"3/2/2026, 11:57:14 AM",3.61,45,58.4,0,2026-03-02T16:57:14.000Z
"3/2/2026, 12:00:14 PM",3.61,45,59.2,0,2026-03-02T17:00:14.000Z
"3/2/2026, 12:03:14 PM",3.61,45.3,60,0,2026-03-02T17:03:14.000Z
"3/2/2026, 12:06:14 PM",3.61,45.5,60.8,0,2026-03-02T17:06:14.000Z
"3/2/2026, 12:09:14 PM",3.61,45.9,61.5,0,2026-03-02T17:09:14.000Z
"3/2/2026, 12:12:14 PM",3.61,46,62.2,0,2026-03-02T17:12:14.000Z
"3/2/2026, 12:15:14 PM",3.61,46.4,62.8,0,2026-03-02T17:15:14.000Z
"3/2/2026, 12:18:14 PM",3.61,46.8,63.5,0,2026-03-02T17:18:14.000Z
"3/2/2026, 12:21:14 PM",3.61,47.1,64,0,2026-03-02T17:21:14.000Z
"3/2/2026, 12:24:14 PM",3.61,47.5,64.6,0,2026-03-02T17:24:14.000Z
"3/2/2026, 12:27:14 PM",3.61,47.7,65.2,0,2026-03-02T17:27:14.000Z
"3/2/2026, 12:30:14 PM",3.61,48,65.8,0,2026-03-02T17:30:14.000Z
"3/2/2026, 12:33:14 PM",3.61,48.2,66.4,0,2026-03-02T17:33:14.000Z
"3/2/2026, 12:36:14 PM",3.61,48.4,67,0,2026-03-02T17:36:14.000Z
"3/2/2026, 12:39:14 PM",3.61,48.6,67.5,0,2026-03-02T17:39:14.000Z
"3/2/2026, 12:42:14 PM",3.61,48.6,68,0,2026-03-02T17:42:14.000Z
"3/2/2026, 12:45:14 PM",3.611,48.9,68.6,0,2026-03-02T17:45:14.000Z
"3/2/2026, 12:48:14 PM",3.61,49.3,69,0,2026-03-02T17:48:14.000Z
"3/2/2026, 12:51:14 PM",3.611,49.5,69.5,0,2026-03-02T17:51:14.000Z
"3/2/2026, 12:54:14 PM",3.611,49.8,70,0,2026-03-02T17:54:14.000Z
"3/2/2026, 12:57:14 PM",3.611,50.2,70.4,0,2026-03-02T17:57:14.000Z
"3/2/2026, 1:00:14 PM",3.611,50.5,70.9,0,2026-03-02T18:00:14.000Z
"3/2/2026, 1:03:14 PM",3.611,50.7,71.3,0,2026-03-02T18:03:14.000Z
"3/2/2026, 1:06:14 PM",3.611,51.1,71.7,0,2026-03-02T18:06:14.000Z
"3/2/2026, 1:09:14 PM",3.612,51.4,72.1,0,2026-03-02T18:09:14.000Z
"3/2/2026, 1:12:14 PM",3.611,51.8,72.6,0,2026-03-02T18:12:14.000Z
"3/2/2026, 1:15:14 PM",3.611,52,72.9,0,2026-03-02T18:15:14.000Z
"3/2/2026, 1:18:14 PM",3.611,52.2,73.3,0,2026-03-02T18:18:14.000Z
"3/2/2026, 1:21:14 PM",3.612,52.3,73.7,0,2026-03-02T18:21:14.000Z
"3/2/2026, 1:24:14 PM",3.612,52.7,74,0,2026-03-02T18:24:14.000Z
"3/2/2026, 1:27:14 PM",3.612,52.9,74.3,0,2026-03-02T18:27:14.000Z
"3/2/2026, 1:30:14 PM",3.612,53.1,74.6,0,2026-03-02T18:30:14.000Z
"3/2/2026, 1:33:14 PM",3.612,53.4,74.9,0,2026-03-02T18:33:14.000Z
"3/2/2026, 1:36:14 PM",3.613,53.6,75.2,0,2026-03-02T18:36:14.000Z
"3/2/2026, 1:39:14 PM",3.613,53.6,75.5,0,2026-03-02T18:39:14.000Z
"3/2/2026, 1:42:14 PM",3.613,53.8,75.7,0,2026-03-02T18:42:14.000Z
"3/2/2026, 1:45:14 PM",3.613,54,75.9,0,2026-03-02T18:45:14.000Z
"3/2/2026, 1:48:14 PM",3.613,54,76.2,0,2026-03-02T18:48:14.000Z
"3/2/2026, 1:51:14 PM",3.613,54.1,76.4,0,2026-03-02T18:51:14.000Z
"3/2/2026, 1:54:14 PM",3.613,54.3,76.6,0,2026-03-02T18:54:14.000Z
"3/2/2026, 1:57:14 PM",3.614,54.3,76.8,0,2026-03-02T18:57:14.000Z
"3/2/2026, 2:00:14 PM",3.613,54.5,77,0,2026-03-02T19:00:14.000Z
"3/2/2026, 2:03:14 PM",3.614,54.7,77.3,0,2026-03-02T19:03:14.000Z
"3/2/2026, 2:06:14 PM",3.614,54.7,77.4,0,2026-03-02T19:06:14.000Z
"3/2/2026, 2:09:14 PM",3.614,54.9,77.6,0,2026-03-02T19:09:14.000Z
"3/2/2026, 2:12:14 PM",3.614,55,77.9,0,2026-03-02T19:12:14.000Z
"3/2/2026, 2:15:14 PM",3.614,55,78,0,2026-03-02T19:15:14.000Z
"3/2/2026, 2:18:14 PM",3.614,55,78.2,0,2026-03-02T19:18:14.000Z
"3/2/2026, 2:21:14 PM",3.614,55.2,78.4,0,2026-03-02T19:21:14.000Z
"3/2/2026, 2:24:14 PM",3.614,55.2,78.5,0,2026-03-02T19:24:14.000Z
"3/2/2026, 2:27:14 PM",3.614,55.2,78.7,0,2026-03-02T19:27:14.000Z
"3/2/2026, 2:30:14 PM",3.614,55,78.8,0,2026-03-02T19:30:14.000Z
"3/2/2026, 2:33:14 PM",3.614,55,78.9,0,2026-03-02T19:33:14.000Z
"3/2/2026, 2:36:14 PM",3.614,55,79,0,2026-03-02T19:36:14.000Z
"3/2/2026, 2:39:14 PM",3.614,55,79.1,0,2026-03-02T19:39:14.000Z
"3/2/2026, 2:42:14 PM",3.615,55,79.2,0,2026-03-02T19:42:14.000Z
"3/2/2026, 2:45:14 PM",3.615,55,79.3,0,2026-03-02T19:45:14.000Z
"3/2/2026, 2:48:14 PM",3.614,55,79.4,0,2026-03-02T19:48:14.000Z
"3/2/2026, 2:51:14 PM",3.615,55,79.5,0,2026-03-02T19:51:14.000Z
"3/2/2026, 2:54:14 PM",3.615,55,79.6,0,2026-03-02T19:54:14.000Z
"3/2/2026, 2:57:14 PM",3.615,55,79.8,0,2026-03-02T19:57:14.000Z
"3/2/2026, 3:00:14 PM",3.615,55,79.9,0,2026-03-02T20:00:14.000Z
"3/2/2026, 3:03:14 PM",3.614,55.2,80,0,2026-03-02T20:03:14.000Z
"3/2/2026, 3:06:14 PM",3.615,55.2,80.1,0,2026-03-02T20:06:14.000Z
"3/2/2026, 3:09:14 PM",3.615,55.2,80.2,0,2026-03-02T20:09:14.000Z
"3/2/2026, 3:12:14 PM",3.615,55.2,80.3,0,2026-03-02T20:12:14.000Z
"3/2/2026, 3:15:14 PM",3.615,55.2,80.4,0,2026-03-02T20:15:14.000Z
"3/2/2026, 3:18:14 PM",3.615,55,80.5,0,2026-03-02T20:18:14.000Z
"3/2/2026, 3:21:14 PM",3.615,55.2,80.6,0,2026-03-02T20:21:14.000Z
"3/2/2026, 3:24:14 PM",3.615,55.2,80.7,0,2026-03-02T20:24:14.000Z
"3/2/2026, 3:27:14 PM",3.615,55.2,80.8,0,2026-03-02T20:27:14.000Z
"3/2/2026, 3:30:14 PM",3.614,55.4,81,0,2026-03-02T20:30:14.000Z
"3/2/2026, 3:33:14 PM",3.615,55.4,81.1,0,2026-03-02T20:33:14.000Z
"3/2/2026, 3:36:14 PM",3.615,55.6,81.2,0,2026-03-02T20:36:14.000Z
"3/2/2026, 3:39:14 PM",3.614,55.6,81.3,0,2026-03-02T20:39:14.000Z
"3/2/2026, 3:42:14 PM",3.615,55.6,81.4,0,2026-03-02T20:42:14.000Z
"3/2/2026, 3:45:14 PM",3.615,55.6,81.5,0,2026-03-02T20:45:14.000Z
"3/2/2026, 3:48:14 PM",3.614,55.6,81.7,0,2026-03-02T20:48:14.000Z
"3/2/2026, 3:51:14 PM",3.614,55.6,81.7,0,2026-03-02T20:51:14.000Z
"3/2/2026, 3:54:14 PM",3.615,55.4,81.8,0,2026-03-02T20:54:14.000Z
"3/2/2026, 3:57:14 PM",3.615,55.4,81.9,0,2026-03-02T20:57:14.000Z
"3/2/2026, 4:00:14 PM",3.615,55.4,82,0,2026-03-02T21:00:14.000Z
"3/2/2026, 4:03:14 PM",3.615,55.2,82.1,0,2026-03-02T21:03:14.000Z
"3/2/2026, 4:06:14 PM",3.614,55.2,82.2,0,2026-03-02T21:06:14.000Z
"3/2/2026, 4:09:14 PM",3.614,55.2,82.3,0,2026-03-02T21:09:14.000Z
"3/2/2026, 4:12:14 PM",3.615,55,82.3,0,2026-03-02T21:12:14.000Z
"3/2/2026, 4:15:14 PM",3.615,54.9,82.4,0,2026-03-02T21:15:14.000Z
"3/2/2026, 4:18:14 PM",3.614,54.9,82.4,0,2026-03-02T21:18:14.000Z
"3/2/2026, 4:21:14 PM",3.614,54.9,82.5,0,2026-03-02T21:21:14.000Z
"3/2/2026, 4:24:14 PM",3.615,54.7,82.6,0,2026-03-02T21:24:14.000Z
"3/2/2026, 4:27:14 PM",3.615,54.7,82.7,0,2026-03-02T21:27:14.000Z
"3/2/2026, 4:30:14 PM",3.614,54.7,82.8,0,2026-03-02T21:30:14.000Z
"3/2/2026, 4:33:14 PM",3.614,54.5,82.8,0,2026-03-02T21:33:14.000Z
"3/2/2026, 4:36:14 PM",3.614,54.3,82.9,0,2026-03-02T21:36:14.000Z
"3/2/2026, 4:39:14 PM",3.614,54.3,83,0,2026-03-02T21:39:14.000Z
"3/2/2026, 4:42:14 PM",3.614,54.1,83,0,2026-03-02T21:42:14.000Z
"3/2/2026, 4:45:14 PM",3.614,54,83.1,0,2026-03-02T21:45:14.000Z
"3/2/2026, 4:48:14 PM",3.614,54,83.2,0,2026-03-02T21:48:14.000Z
"3/2/2026, 4:51:14 PM",3.614,54,83.2,0,2026-03-02T21:51:14.000Z
"3/2/2026, 4:54:14 PM",3.614,53.8,83.3,0,2026-03-02T21:54:14.000Z
"3/2/2026, 4:57:14 PM",3.614,53.8,83.4,0,2026-03-02T21:57:14.000Z
"3/2/2026, 5:00:14 PM",3.614,53.8,83.4,0,2026-03-02T22:00:14.000Z
"3/2/2026, 5:03:14 PM",3.614,53.6,83.5,0,2026-03-02T22:03:14.000Z
"3/2/2026, 5:06:14 PM",3.614,53.4,83.6,0,2026-03-02T22:06:14.000Z
"3/2/2026, 5:09:14 PM",3.614,53.2,83.7,0,2026-03-02T22:09:14.000Z
"3/2/2026, 5:12:14 PM",3.614,53.2,83.7,0,2026-03-02T22:12:14.000Z
"3/2/2026, 5:15:14 PM",3.613,53.1,83.7,0,2026-03-02T22:15:14.000Z
"3/2/2026, 5:18:14 PM",3.614,52.9,83.8,0,2026-03-02T22:18:14.000Z
"3/2/2026, 5:21:14 PM",3.613,52.7,83.8,0,2026-03-02T22:21:14.000Z
"3/2/2026, 5:24:14 PM",3.613,52.7,83.9,0,2026-03-02T22:24:14.000Z
"3/2/2026, 5:27:14 PM",3.613,52.5,83.9,0,2026-03-02T22:27:14.000Z
"3/2/2026, 5:30:14 PM",3.613,52.3,84,0,2026-03-02T22:30:14.000Z
"3/2/2026, 5:33:14 PM",3.613,52.3,84,0,2026-03-02T22:33:14.000Z
"3/2/2026, 5:36:14 PM",3.613,52.2,84,0,2026-03-02T22:36:14.000Z
"3/2/2026, 5:39:14 PM",3.613,52,84,0,2026-03-02T22:39:14.000Z
"3/2/2026, 5:42:14 PM",3.613,51.8,84.1,0,2026-03-02T22:42:14.000Z
"3/2/2026, 5:45:14 PM",3.613,51.8,84.1,0,2026-03-02T22:45:14.000Z
"3/2/2026, 5:48:14 PM",3.613,51.8,84.2,0,2026-03-02T22:48:14.000Z
"3/2/2026, 5:51:14 PM",3.613,51.8,84.2,0,2026-03-02T22:51:14.000Z
"3/2/2026, 5:54:14 PM",3.612,51.8,84.3,0,2026-03-02T22:54:14.000Z
"3/2/2026, 5:57:14 PM",3.612,51.8,84.4,0,2026-03-02T22:57:14.000Z
"3/2/2026, 6:00:14 PM",3.612,51.8,84.5,0,2026-03-02T23:00:14.000Z
"3/2/2026, 6:03:14 PM",3.612,51.8,84.6,0,2026-03-02T23:03:14.000Z
"3/2/2026, 6:06:14 PM",3.612,51.6,84.6,0,2026-03-02T23:06:14.000Z
"3/2/2026, 6:09:14 PM",3.612,51.6,84.7,0,2026-03-02T23:09:14.000Z
"3/2/2026, 6:12:14 PM",3.612,51.6,84.8,0,2026-03-02T23:12:14.000Z
"3/2/2026, 6:15:14 PM",3.612,51.6,84.9,0,2026-03-02T23:15:14.000Z
"3/2/2026, 6:18:14 PM",3.612,51.4,85,0,2026-03-02T23:18:14.000Z
"3/2/2026, 6:21:14 PM",3.612,51.4,85,0,2026-03-02T23:21:14.000Z
"3/2/2026, 6:24:14 PM",3.611,51.3,85.1,0,2026-03-02T23:24:14.000Z
"3/2/2026, 6:27:14 PM",3.612,51.3,85.2,0,2026-03-02T23:27:14.000Z
"3/2/2026, 6:30:14 PM",3.611,51.4,85.3,0,2026-03-02T23:30:14.000Z
"3/2/2026, 6:33:14 PM",3.612,51.3,85.3,0,2026-03-02T23:33:14.000Z
"3/2/2026, 6:36:14 PM",3.611,51.3,85.4,0,2026-03-02T23:36:14.000Z
"3/2/2026, 6:39:14 PM",3.611,51.1,85.4,0,2026-03-02T23:39:14.000Z
"3/2/2026, 6:42:14 PM",3.612,51.1,85.5,0,2026-03-02T23:42:14.000Z
"3/2/2026, 6:45:14 PM",3.611,51.1,85.5,0,2026-03-02T23:45:14.000Z
"3/2/2026, 6:48:14 PM",3.611,50.9,85.6,0,2026-03-02T23:48:14.000Z
"3/2/2026, 6:51:14 PM",3.611,50.7,85.7,0,2026-03-02T23:51:14.000Z
"3/2/2026, 6:54:14 PM",3.611,50.7,85.7,0,2026-03-02T23:54:14.000Z
"3/2/2026, 6:57:14 PM",3.611,50.5,85.7,0,2026-03-02T23:57:14.000Z
"3/2/2026, 7:00:14 PM",3.611,50.4,85.8,0,2026-03-03T00:00:14.000Z
"3/2/2026, 7:03:14 PM",3.611,50.2,85.8,0,2026-03-03T00:03:14.000Z
"3/2/2026, 7:06:14 PM",3.611,50.2,85.8,0,2026-03-03T00:06:14.000Z
"3/2/2026, 7:09:14 PM",3.611,50,85.8,0,2026-03-03T00:09:14.000Z
"3/2/2026, 7:12:14 PM",3.611,50,85.8,0,2026-03-03T00:12:14.000Z
"3/2/2026, 7:15:14 PM",3.611,50,85.9,0,2026-03-03T00:15:14.000Z
"3/2/2026, 7:18:14 PM",3.61,49.8,85.9,0,2026-03-03T00:18:14.000Z
"3/2/2026, 7:21:14 PM",3.611,49.8,86,0,2026-03-03T00:21:14.000Z
"3/2/2026, 7:24:14 PM",3.611,49.6,86,0,2026-03-03T00:24:14.000Z
"3/2/2026, 7:27:14 PM",3.611,49.6,86.1,0,2026-03-03T00:27:14.000Z
"3/2/2026, 7:30:14 PM",3.611,49.5,86.1,0,2026-03-03T00:30:14.000Z
"3/2/2026, 7:33:14 PM",3.61,49.5,86.2,0,2026-03-03T00:33:14.000Z
"3/2/2026, 7:36:14 PM",3.61,49.5,86.2,0,2026-03-03T00:36:14.000Z
"3/2/2026, 7:39:14 PM",3.61,49.3,86.2,0,2026-03-03T00:39:14.000Z
"3/2/2026, 7:42:14 PM",3.61,49.1,86.3,0,2026-03-03T00:42:14.000Z
"3/2/2026, 7:45:14 PM",3.61,49.1,86.3,0,2026-03-03T00:45:14.000Z
"3/2/2026, 7:48:14 PM",3.61,48.9,86.3,0,2026-03-03T00:48:14.000Z
"3/2/2026, 7:51:14 PM",3.61,48.9,86.3,0,2026-03-03T00:51:14.000Z
"3/2/2026, 7:54:14 PM",3.61,48.7,86.4,0,2026-03-03T00:54:14.000Z
"3/2/2026, 7:57:14 PM",3.61,48.6,86.4,0,2026-03-03T00:57:14.000Z
"3/2/2026, 8:00:14 PM",3.61,48.6,86.4,0,2026-03-03T01:00:14.000Z
"3/2/2026, 8:03:14 PM",3.609,48.6,86.4,0,2026-03-03T01:03:14.000Z
"3/2/2026, 8:06:14 PM",3.61,48.4,86.5,0,2026-03-03T01:06:14.000Z
"3/2/2026, 8:09:14 PM",3.61,48.4,86.5,0,2026-03-03T01:09:14.000Z
"3/2/2026, 8:12:14 PM",3.609,48.2,86.6,0,2026-03-03T01:12:14.000Z
"3/2/2026, 8:15:14 PM",3.609,48.2,86.6,0,2026-03-03T01:15:14.000Z
"3/2/2026, 8:18:14 PM",3.609,48,86.6,0,2026-03-03T01:18:14.000Z
"3/2/2026, 8:21:14 PM",3.609,48,86.6,0,2026-03-03T01:21:14.000Z
"3/2/2026, 8:24:14 PM",3.609,47.8,86.6,0,2026-03-03T01:24:14.000Z
"3/2/2026, 8:27:14 PM",3.609,47.8,86.7,0,2026-03-03T01:27:14.000Z
"3/2/2026, 8:30:14 PM",3.609,48,86.7,0,2026-03-03T01:30:14.000Z
"3/2/2026, 8:33:14 PM",3.609,48.2,86.8,0,2026-03-03T01:33:14.000Z
"3/2/2026, 8:36:14 PM",3.609,48.2,86.8,0,2026-03-03T01:36:14.000Z
"3/2/2026, 8:39:14 PM",3.609,48.2,86.9,0,2026-03-03T01:39:14.000Z
"3/2/2026, 8:42:14 PM",3.609,48.2,87,0,2026-03-03T01:42:14.000Z
"3/2/2026, 8:45:14 PM",3.609,48.2,87,0,2026-03-03T01:45:14.000Z
"3/2/2026, 8:48:14 PM",3.609,48.4,87.1,0,2026-03-03T01:48:14.000Z
"3/2/2026, 8:51:14 PM",3.609,48.6,87.1,0,2026-03-03T01:51:14.000Z
"3/2/2026, 8:54:14 PM",3.608,48.6,87.2,0,2026-03-03T01:54:14.000Z
"3/2/2026, 8:57:14 PM",3.609,48.4,87.2,0,2026-03-03T01:57:14.000Z
"3/2/2026, 9:00:14 PM",3.608,48.6,87.3,0,2026-03-03T02:00:14.000Z
"3/2/2026, 9:03:14 PM",3.609,48.6,87.4,0,2026-03-03T02:03:14.000Z
"3/2/2026, 9:06:14 PM",3.609,48.6,87.4,0,2026-03-03T02:06:14.000Z
"3/2/2026, 9:09:14 PM",3.608,48.6,87.4,0,2026-03-03T02:09:14.000Z
"3/2/2026, 9:12:14 PM",3.608,48.6,87.5,0,2026-03-03T02:12:14.000Z
"3/2/2026, 9:15:14 PM",3.609,48.6,87.5,0,2026-03-03T02:15:14.000Z
"3/2/2026, 9:18:14 PM",3.608,48.6,87.6,0,2026-03-03T02:18:14.000Z
"3/2/2026, 9:21:14 PM",3.608,48.6,87.6,0,2026-03-03T02:21:14.000Z
"3/2/2026, 9:24:14 PM",3.608,48.6,87.7,0,2026-03-03T02:24:14.000Z
"3/2/2026, 9:27:14 PM",3.609,48.6,87.8,0,2026-03-03T02:27:14.000Z
"3/2/2026, 9:30:14 PM",3.608,48.6,87.8,0,2026-03-03T02:30:14.000Z
"3/2/2026, 9:33:14 PM",3.608,48.6,87.8,0,2026-03-03T02:33:14.000Z
"3/2/2026, 9:36:14 PM",3.608,48.6,87.9,0,2026-03-03T02:36:14.000Z
"3/2/2026, 9:39:14 PM",3.608,48.6,87.9,0,2026-03-03T02:39:14.000Z
"3/2/2026, 9:42:14 PM",3.608,48.6,87.9,0,2026-03-03T02:42:14.000Z
"3/2/2026, 9:45:14 PM",3.608,48.6,87.9,0,2026-03-03T02:45:14.000Z
"3/2/2026, 9:48:14 PM",3.608,48.6,88,0,2026-03-03T02:48:14.000Z
"3/2/2026, 9:51:14 PM",3.608,48.6,88.1,0,2026-03-03T02:51:14.000Z
"3/2/2026, 9:54:14 PM",3.608,48.6,88.1,0,2026-03-03T02:54:14.000Z
"3/2/2026, 9:57:14 PM",3.608,48.6,88.1,0,2026-03-03T02:57:14.000Z
"3/2/2026, 10:00:14 PM",3.608,48.6,88.2,0,2026-03-03T03:00:14.000Z
"3/2/2026, 10:03:14 PM",3.608,48.6,88.3,0,2026-03-03T03:03:14.000Z
"3/2/2026, 10:06:14 PM",3.608,48.6,88.3,0,2026-03-03T03:06:14.000Z
"3/2/2026, 10:09:14 PM",3.608,48.6,88.3,0,2026-03-03T03:09:14.000Z
"3/2/2026, 10:12:14 PM",3.608,48.6,88.3,0,2026-03-03T03:12:14.000Z
"3/2/2026, 10:15:14 PM",3.609,48.6,88.4,0,2026-03-03T03:15:14.000Z
"3/2/2026, 10:18:14 PM",3.608,48.7,88.4,0,2026-03-03T03:18:14.000Z
"3/2/2026, 10:21:14 PM",3.608,48.6,88.5,0,2026-03-03T03:21:14.000Z
"3/2/2026, 10:24:14 PM",3.608,48.6,88.6,0,2026-03-03T03:24:14.000Z
"3/2/2026, 10:27:14 PM",3.608,48.6,88.6,0,2026-03-03T03:27:14.000Z
"3/2/2026, 10:30:14 PM",3.608,48.6,88.7,0,2026-03-03T03:30:14.000Z
"3/2/2026, 10:33:14 PM",3.608,48.6,88.7,0,2026-03-03T03:33:14.000Z
"3/2/2026, 10:36:14 PM",3.608,48.6,88.7,0,2026-03-03T03:36:14.000Z
"3/2/2026, 10:39:14 PM",3.608,48.6,88.7,0,2026-03-03T03:39:14.000Z
"3/2/2026, 10:42:14 PM",3.608,48.7,88.8,0,2026-03-03T03:42:14.000Z
"3/2/2026, 10:45:14 PM",3.608,48.7,88.8,0,2026-03-03T03:45:14.000Z
"3/2/2026, 10:48:14 PM",3.608,48.7,88.9,0,2026-03-03T03:48:14.000Z
"3/2/2026, 10:51:14 PM",3.608,48.7,88.9,0,2026-03-03T03:51:14.000Z
"3/2/2026, 10:54:14 PM",3.608,48.7,88.9,0,2026-03-03T03:54:14.000Z
"3/2/2026, 10:57:14 PM",3.608,48.7,89,0,2026-03-03T03:57:14.000Z
"3/2/2026, 11:00:14 PM",3.608,48.9,89,0,2026-03-03T04:00:14.000Z
"3/2/2026, 11:03:14 PM",3.608,48.9,89.1,0,2026-03-03T04:03:14.000Z
"3/2/2026, 11:06:14 PM",3.608,48.7,89.1,0,2026-03-03T04:06:14.000Z
"3/2/2026, 11:09:14 PM",3.608,48.7,89.1,0,2026-03-03T04:09:14.000Z
"3/2/2026, 11:12:14 PM",3.608,48.7,89.2,0,2026-03-03T04:12:14.000Z
"3/2/2026, 11:15:14 PM",3.608,48.7,89.2,0,2026-03-03T04:15:14.000Z
"3/2/2026, 11:18:14 PM",3.608,48.9,89.3,0,2026-03-03T04:18:14.000Z
