Instrument:,NH3-211205141,,,,,,,,,,,,,
Name:,Biosolids Dewatering,,,,,,,,,,,,,"1)      HCL Stopped feeding on Thursday 8/27/2025. Then off Sept 4, Sept 11 and Sept 18. New delivery will be on Sept 25, 2025."
Time Zone Offset (Minutes):,-240,,,,,,,,,,,,,"2)      Ferric Tote received on Sept 10, but was left off for one (1) week."
Orignal File Name:,"C:\Users\phil.bennington\Documents\NH3-211205141_[8-27-2025, 8-19-51 AM --- 9-10-2025, 10-37-51 AM].acrudata",,,,,,,,,,,,,
Session ID:,24794,,,,,,,,,,,,,
Session 1st Title:,"NH3-211205141_[8-27-2025, 8-19-51 AM --- 9-10-2025, 10-37-51 AM]",,,,,,,,,,,,,Ferric Chloride 37.9% Strength and Spec. Grav. 1.404
Session Start:,"8/27/2025, 8:19:51 AM",,,,,,,,,,,,,                                 Totes 583 Lbs/day of 37.9% = 220.9 Lbs of 100% strength
Session End:,"9/10/2025, 10:37:51 AM",,,,,,,,,,,,,
,,,,,,,,,,,,,,MGD X 8.34 X mg/L = Lbs 100% strength
"8/27/2025, 8:58:51 AM",3.66,69.1,89.8,1,2025-08-27T12:58:51.000Z,,,,,,,,,
"8/27/2025, 9:01:51 AM",3.66,68.9,89.8,1,2025-08-27T13:01:51.000Z,,,,,,,,,
"8/27/2025, 9:04:51 AM",3.66,68.9,89.9,2,2025-08-27T13:04:51.000Z,,,,,,,,,
"8/27/2025, 9:07:51 AM",3.66,68.9,89.9,2,2025-08-27T13:07:51.000Z,,,,,,,,,
"8/27/2025, 9:10:51 AM",3.66,69.1,89.9,2,2025-08-27T13:10:51.000Z,,,,,,,,,
"8/27/2025, 9:13:51 AM",3.66,69.1,90,2,2025-08-27T13:13:51.000Z,,,,,,,,,
"8/27/2025, 9:16:51 AM",3.66,69.1,90,2,2025-08-27T13:16:51.000Z,,,,,,,,,
"8/27/2025, 9:19:51 AM",3.66,69.1,90.1,2,2025-08-27T13:19:51.000Z,,,,,,,,,
"8/27/2025, 9:22:51 AM",3.66,69.1,90.1,2,2025-08-27T13:22:51.000Z,,,,,,,,,
"8/27/2025, 9:25:51 AM",3.66,69.1,90.2,2,2025-08-27T13:25:51.000Z,,,,,,,,,
"8/27/2025, 9:28:51 AM",3.66,69.3,90.2,3,2025-08-27T13:28:51.000Z,,,,,,,,,
"8/27/2025, 9:31:51 AM",3.66,69.4,90.3,3,2025-08-27T13:31:51.000Z,,,,,,,,,
"8/27/2025, 9:34:51 AM",3.66,69.6,90.4,3,2025-08-27T13:34:51.000Z,,,,,,,,,
"8/27/2025, 9:37:51 AM",3.66,69.6,90.5,3,2025-08-27T13:37:51.000Z,,,,,,,,,
"8/27/2025, 9:40:51 AM",3.66,69.8,90.5,3,2025-08-27T13:40:51.000Z,,,,,,,,,
"8/27/2025, 9:43:51 AM",3.66,70,90.6,3,2025-08-27T13:43:51.000Z,,,,,,,,,
"8/27/2025, 9:46:51 AM",3.66,70.2,90.7,4,2025-08-27T13:46:51.000Z,,,,,,,,,
"8/27/2025, 9:49:51 AM",3.66,70.3,90.8,4,2025-08-27T13:49:51.000Z,,,,,,,,,
"8/27/2025, 9:52:51 AM",3.66,70.5,90.8,4,2025-08-27T13:52:51.000Z,,,,,,,,,
"8/27/2025, 9:55:51 AM",3.66,70.7,91,4,2025-08-27T13:55:51.000Z,,,,,,,,,
"8/27/2025, 9:58:51 AM",3.66,70.9,91,4,2025-08-27T13:58:51.000Z,,,,,,,,,
"8/27/2025, 10:01:51 AM",3.66,71.1,91.1,5,2025-08-27T14:01:51.000Z,,,,,,,,,
"8/27/2025, 10:04:51 AM",3.66,71.2,91.2,5,2025-08-27T14:04:51.000Z,,,,,,,,,
"8/27/2025, 10:07:51 AM",3.66,71.4,91.2,5,2025-08-27T14:07:51.000Z,,,,,,,,,
"8/27/2025, 10:10:51 AM",3.66,71.6,91.4,6,2025-08-27T14:10:51.000Z,,,,,,,,,
"8/27/2025, 10:13:51 AM",3.66,71.8,91.4,7,2025-08-27T14:13:51.000Z,,,,,,,,,
"8/27/2025, 10:16:51 AM",3.66,72,91.5,7,2025-08-27T14:16:51.000Z,,,,,,,,,
"8/27/2025, 10:19:51 AM",3.66,72.1,91.6,8,2025-08-27T14:19:51.000Z,,,,,,,,,
"8/27/2025, 10:22:51 AM",3.66,72.3,91.7,8,2025-08-27T14:22:51.000Z,,,,,,,,,
"8/27/2025, 10:25:51 AM",3.66,72.5,91.8,9,2025-08-27T14:25:51.000Z,,,,,,,,,
"8/27/2025, 10:28:51 AM",3.66,72.9,91.9,10,2025-08-27T14:28:51.000Z,,,,,,,,,
"8/27/2025, 10:31:51 AM",3.66,73,91.9,10,2025-08-27T14:31:51.000Z,,,,,,,,,
"8/27/2025, 10:34:51 AM",3.66,73.2,92.1,11,2025-08-27T14:34:51.000Z,,,,,,,,,
"8/27/2025, 10:37:51 AM",3.66,73.4,92.2,11,2025-08-27T14:37:51.000Z,,,,,,,,,
"8/27/2025, 10:40:51 AM",3.66,73.8,92.3,12,2025-08-27T14:40:51.000Z,,,,,,,,,
"8/27/2025, 10:43:51 AM",3.66,73.9,92.3,12,2025-08-27T14:43:51.000Z,,,,,,,,,
"8/27/2025, 10:46:51 AM",3.66,74.1,92.4,12,2025-08-27T14:46:51.000Z,,,,,,,,,
"8/27/2025, 10:49:51 AM",3.66,74.3,92.5,12,2025-08-27T14:49:51.000Z,,,,,,,,,
"8/27/2025, 10:52:51 AM",3.66,74.7,92.6,13,2025-08-27T14:52:51.000Z,,,,,,,,,
"8/27/2025, 10:55:51 AM",3.66,74.8,92.7,13,2025-08-27T14:55:51.000Z,,,,,,,,,
"8/27/2025, 10:58:51 AM",3.66,75,92.8,13,2025-08-27T14:58:51.000Z,,,,,,,,,
"8/27/2025, 11:01:51 AM",3.659,75.4,92.9,13,2025-08-27T15:01:51.000Z,,,,,,,,,
"8/27/2025, 11:04:51 AM",3.66,75.6,92.9,14,2025-08-27T15:04:51.000Z,,,,,,,,,
"8/27/2025, 11:07:51 AM",3.66,75.7,93.1,14,2025-08-27T15:07:51.000Z,,,,,,,,,
"8/27/2025, 11:10:51 AM",3.66,75.9,93.1,13,2025-08-27T15:10:51.000Z,,,,,,,,,
"8/27/2025, 11:13:51 AM",3.66,76.3,93.3,14,2025-08-27T15:13:51.000Z,,,,,,,,,
"8/27/2025, 11:16:51 AM",3.66,76.5,93.3,14,2025-08-27T15:16:51.000Z,,,,,,,,,
"8/27/2025, 11:19:51 AM",3.66,76.6,93.4,14,2025-08-27T15:19:51.000Z,,,,,,,,,
"8/27/2025, 11:22:51 AM",3.66,76.8,93.5,14,2025-08-27T15:22:51.000Z,,,,,,,,,
"8/27/2025, 11:25:51 AM",3.66,77,93.5,14,2025-08-27T15:25:51.000Z,,,,,,,,,
"8/27/2025, 11:28:51 AM",3.66,77.4,93.6,14,2025-08-27T15:28:51.000Z,,,,,,,,,
"8/27/2025, 11:31:51 AM",3.659,77.5,93.7,15,2025-08-27T15:31:51.000Z,,,,,,,,,
"8/27/2025, 11:34:51 AM",3.66,77.7,93.8,14,2025-08-27T15:34:51.000Z,,,,,,,,,
"8/27/2025, 11:37:51 AM",3.66,77.9,93.9,15,2025-08-27T15:37:51.000Z,,,,,,,,,
"8/27/2025, 11:40:51 AM",3.66,78.1,94,15,2025-08-27T15:40:51.000Z,,,,,,,,,
"8/27/2025, 11:43:51 AM",3.66,78.4,94.1,15,2025-08-27T15:43:51.000Z,,,,,,,,,
"8/27/2025, 11:46:51 AM",3.66,78.6,94.2,16,2025-08-27T15:46:51.000Z,,,,,,,,,
"8/27/2025, 11:49:51 AM",3.659,79,94.2,17,2025-08-27T15:49:51.000Z,,,,,,,,,
"8/27/2025, 11:52:51 AM",3.66,79.2,94.3,17,2025-08-27T15:52:51.000Z,,,,,,,,,
"8/27/2025, 11:55:51 AM",3.66,79.3,94.4,17,2025-08-27T15:55:51.000Z,,,,,,,,,
"8/27/2025, 11:58:51 AM",3.66,79.7,94.5,18,2025-08-27T15:58:51.000Z,,,,,,,,,
"8/27/2025, 12:01:51 PM",3.659,79.9,94.6,18,2025-08-27T16:01:51.000Z,,,,,,,,,
"8/27/2025, 12:04:51 PM",3.66,80.1,94.7,18,2025-08-27T16:04:51.000Z,,,,,,,,,
"8/27/2025, 12:07:51 PM",3.66,80.4,94.7,18,2025-08-27T16:07:51.000Z,,,,,,,,,
"8/27/2025, 12:10:51 PM",3.659,80.6,94.9,18,2025-08-27T16:10:51.000Z,,,,,,,,,
"8/27/2025, 12:13:51 PM",3.659,80.8,95,18,2025-08-27T16:13:51.000Z,,,,,,,,,
"8/27/2025, 12:16:51 PM",3.659,81.1,95,18,2025-08-27T16:16:51.000Z,,,,,,,,,
"8/27/2025, 12:19:51 PM",3.66,81.3,95,18,2025-08-27T16:19:51.000Z,,,,,,,,,
"8/27/2025, 12:22:51 PM",3.659,81.5,95.1,19,2025-08-27T16:22:51.000Z,,,,,,,,,
"8/27/2025, 12:25:51 PM",3.659,81.9,95.2,19,2025-08-27T16:25:51.000Z,,,,,,,,,
"8/27/2025, 12:28:51 PM",3.659,82,95.2,19,2025-08-27T16:28:51.000Z,,,,,,,,,
"8/27/2025, 12:31:51 PM",3.66,82.2,95.3,19,2025-08-27T16:31:51.000Z,,,,,,,,,
"8/27/2025, 12:34:51 PM",3.66,82.4,95.4,18,2025-08-27T16:34:51.000Z,,,,,,,,,
"8/27/2025, 12:37:51 PM",3.659,82.6,95.4,16,2025-08-27T16:37:51.000Z,,,,,,,,,
"8/27/2025, 12:40:51 PM",3.659,82.8,95.5,16,2025-08-27T16:40:51.000Z,,,,,,,,,
"8/27/2025, 12:43:51 PM",3.66,82.9,95.6,17,2025-08-27T16:43:51.000Z,,,,,,,,,
"8/27/2025, 12:46:51 PM",3.66,83.1,95.6,18,2025-08-27T16:46:51.000Z,,,,,,,,,
"8/27/2025, 12:49:51 PM",3.659,83.3,95.7,18,2025-08-27T16:49:51.000Z,,,,,,,,,
"8/27/2025, 12:52:51 PM",3.659,83.7,95.7,18,2025-08-27T16:52:51.000Z,,,,,,,,,
"8/27/2025, 12:55:51 PM",3.659,83.8,95.9,20,2025-08-27T16:55:51.000Z,,,,,,,,,
"8/27/2025, 12:58:51 PM",3.659,84,95.9,20,2025-08-27T16:58:51.000Z,,,,,,,,,
"8/27/2025, 1:01:51 PM",3.659,84.4,96,20,2025-08-27T17:01:51.000Z,,,,,,,,,
"8/27/2025, 1:04:51 PM",3.659,84.6,96,20,2025-08-27T17:04:51.000Z,,,,,,,,,
"8/27/2025, 1:07:51 PM",3.66,84.7,96.1,19,2025-08-27T17:07:51.000Z,,,,,,,,,
"8/27/2025, 1:10:51 PM",3.659,84.9,96.2,20,2025-08-27T17:10:51.000Z,,,,,,,,,
"8/27/2025, 1:13:51 PM",3.659,85.1,96.2,21,2025-08-27T17:13:51.000Z,,,,,,,,,
"8/27/2025, 1:16:51 PM",3.66,85.3,96.3,21,2025-08-27T17:16:51.000Z,,,,,,,,,
"8/27/2025, 1:19:51 PM",3.659,85.6,96.4,20,2025-08-27T17:19:51.000Z,,,,,,,,,
"8/27/2025, 1:22:51 PM",3.659,85.8,96.4,20,2025-08-27T17:22:51.000Z,,,,,,,,,
"8/27/2025, 1:25:51 PM",3.659,86,96.5,21,2025-08-27T17:25:51.000Z,,,,,,,,,
"8/27/2025, 1:28:51 PM",3.659,86.2,96.6,21,2025-08-27T17:28:51.000Z,,,,,,,,,
"8/27/2025, 1:31:51 PM",3.659,86.5,96.7,22,2025-08-27T17:31:51.000Z,,,,,,,,,
"8/27/2025, 1:34:51 PM",3.659,86.7,96.8,22,2025-08-27T17:34:51.000Z,,,,,,,,,
"8/27/2025, 1:37:51 PM",3.66,87.1,96.8,22,2025-08-27T17:37:51.000Z,,,,,,,,,
"8/27/2025, 1:40:51 PM",3.659,87.3,96.9,22,2025-08-27T17:40:51.000Z,,,,,,,,,
"8/27/2025, 1:43:51 PM",3.659,87.6,97,22,2025-08-27T17:43:51.000Z,,,,,,,,,
"8/27/2025, 1:46:51 PM",3.659,87.8,97,22,2025-08-27T17:46:51.000Z,,,,,,,,,
"8/27/2025, 1:49:51 PM",3.659,88,97.2,22,2025-08-27T17:49:51.000Z,,,,,,,,,
"8/27/2025, 1:52:51 PM",3.659,88.3,97.2,22,2025-08-27T17:52:51.000Z,,,,,,,,,
"8/27/2025, 1:55:51 PM",3.659,88.5,97.3,22,2025-08-27T17:55:51.000Z,,,,,,,,,
"8/27/2025, 1:58:51 PM",3.659,88.9,97.4,22,2025-08-27T17:58:51.000Z,,,,,,,,,
"8/27/2025, 2:01:51 PM",3.659,88.9,97.5,23,2025-08-27T18:01:51.000Z,,,,,,,,,
"8/27/2025, 2:04:51 PM",3.659,89.2,97.5,22,2025-08-27T18:04:51.000Z,,,,,,,,,
"8/27/2025, 2:07:51 PM",3.659,89.4,97.6,22,2025-08-27T18:07:51.000Z,,,,,,,,,
"8/27/2025, 2:10:51 PM",3.659,89.6,97.7,22,2025-08-27T18:10:51.000Z,,,,,,,,,
"8/27/2025, 2:13:51 PM",3.659,89.8,97.8,23,2025-08-27T18:13:51.000Z,,,,,,,,,
"8/27/2025, 2:16:51 PM",3.66,90.1,97.8,23,2025-08-27T18:16:51.000Z,,,,,,,,,
"8/27/2025, 2:19:51 PM",3.659,90.3,97.9,23,2025-08-27T18:19:51.000Z,,,,,,,,,
"8/27/2025, 2:22:51 PM",3.659,90.5,98,23,2025-08-27T18:22:51.000Z,,,,,,,,,
"8/27/2025, 2:25:51 PM",3.659,90.7,98,24,2025-08-27T18:25:51.000Z,,,,,,,,,
"8/27/2025, 2:28:51 PM",3.659,90.9,98.1,23,2025-08-27T18:28:51.000Z,,,,,,,,,
"8/27/2025, 2:31:51 PM",3.659,90.9,98.1,23,2025-08-27T18:31:51.000Z,,,,,,,,,
"8/27/2025, 2:34:51 PM",3.659,91,98.2,24,2025-08-27T18:34:51.000Z,,,,,,,,,
"8/27/2025, 2:37:51 PM",3.658,91.2,98.2,24,2025-08-27T18:37:51.000Z,,,,,,,,,
"8/27/2025, 2:40:51 PM",3.659,91.4,98.3,25,2025-08-27T18:40:51.000Z,,,,,,,,,
"8/27/2025, 2:43:51 PM",3.658,91.6,98.3,24,2025-08-27T18:43:51.000Z,,,,,,,,,
"8/27/2025, 2:46:51 PM",3.659,91.6,98.3,25,2025-08-27T18:46:51.000Z,,,,,,,,,
"8/27/2025, 2:49:51 PM",3.659,91.8,98.4,25,2025-08-27T18:49:51.000Z,,,,,,,,,
"8/27/2025, 2:52:51 PM",3.659,91.9,98.4,26,2025-08-27T18:52:51.000Z,,,,,,,,,
"8/27/2025, 2:55:51 PM",3.659,92.1,98.5,27,2025-08-27T18:55:51.000Z,,,,,,,,,
"8/27/2025, 2:58:51 PM",3.659,92.1,98.5,27,2025-08-27T18:58:51.000Z,,,,,,,,,
"8/27/2025, 3:01:51 PM",3.659,92.3,98.6,27,2025-08-27T19:01:51.000Z,,,,,,,,,
"8/27/2025, 3:04:51 PM",3.659,92.5,98.7,27,2025-08-27T19:04:51.000Z,,,,,,,,,
"8/27/2025, 3:07:51 PM",3.658,92.5,98.7,27,2025-08-27T19:07:51.000Z,,,,,,,,,
"8/27/2025, 3:10:51 PM",3.659,92.7,98.7,26,2025-08-27T19:10:51.000Z,,,,,,,,,
"8/27/2025, 3:13:51 PM",3.659,92.7,98.7,26,2025-08-27T19:13:51.000Z,,,,,,,,,
"8/27/2025, 3:16:51 PM",3.659,92.8,98.8,27,2025-08-27T19:16:51.000Z,,,,,,,,,
"8/27/2025, 3:19:51 PM",3.659,92.8,98.8,28,2025-08-27T19:19:51.000Z,,,,,,,,,
"8/27/2025, 3:22:51 PM",3.659,93,98.9,28,2025-08-27T19:22:51.000Z,,,,,,,,,
"8/27/2025, 3:25:51 PM",3.659,93.2,98.9,28,2025-08-27T19:25:51.000Z,,,,,,,,,
"8/27/2025, 3:28:51 PM",3.659,93.2,98.9,27,2025-08-27T19:28:51.000Z,,,,,,,,,
"8/27/2025, 3:31:51 PM",3.659,93.2,99,27,2025-08-27T19:31:51.000Z,,,,,,,,,
"8/27/2025, 3:34:51 PM",3.659,93.4,99,28,2025-08-27T19:34:51.000Z,,,,,,,,,
"8/27/2025, 3:37:51 PM",3.658,93.4,99,28,2025-08-27T19:37:51.000Z,,,,,,,,,
"8/27/2025, 3:40:51 PM",3.659,93.6,99,28,2025-08-27T19:40:51.000Z,,,,,,,,,
"8/27/2025, 3:43:51 PM",3.659,93.6,99.1,29,2025-08-27T19:43:51.000Z,,,,,,,,,
"8/27/2025, 3:46:51 PM",3.659,93.7,99.1,31,2025-08-27T19:46:51.000Z,,,,,,,,,
"8/27/2025, 3:49:51 PM",3.659,93.7,99.1,31,2025-08-27T19:49:51.000Z,,,,,,,,,
"8/27/2025, 3:52:51 PM",3.659,93.9,99.2,29,2025-08-27T19:52:51.000Z,,,,,,,,,
"8/27/2025, 3:55:51 PM",3.659,93.9,99.2,31,2025-08-27T19:55:51.000Z,,,,,,,,,
"8/27/2025, 3:58:51 PM",3.659,93.9,99.2,31,2025-08-27T19:58:51.000Z,,,,,,,,,
"8/27/2025, 4:01:51 PM",3.659,94.1,99.2,31,2025-08-27T20:01:51.000Z,,,,,,,,,
"8/27/2025, 4:04:51 PM",3.659,94.1,99.3,30,2025-08-27T20:04:51.000Z,,,,,,,,,
"8/27/2025, 4:07:51 PM",3.659,94.1,99.3,31,2025-08-27T20:07:51.000Z,,,,,,,,,
"8/27/2025, 4:10:51 PM",3.659,94.1,99.3,32,2025-08-27T20:10:51.000Z,,,,,,,,,
"8/27/2025, 4:13:51 PM",3.659,94.3,99.3,33,2025-08-27T20:13:51.000Z,,,,,,,,,
"8/27/2025, 4:16:51 PM",3.659,94.3,99.4,33,2025-08-27T20:16:51.000Z,,,,,,,,,
"8/27/2025, 4:19:51 PM",3.659,94.3,99.4,33,2025-08-27T20:19:51.000Z,,,,,,,,,
"8/27/2025, 4:22:51 PM",3.659,94.3,99.4,34,2025-08-27T20:22:51.000Z,,,,,,,,,
"8/27/2025, 4:25:51 PM",3.659,94.3,99.4,34,2025-08-27T20:25:51.000Z,,,,,,,,,
"8/27/2025, 4:28:51 PM",3.659,94.3,99.4,35,2025-08-27T20:28:51.000Z,,,,,,,,,
"8/27/2025, 4:31:51 PM",3.659,94.3,99.4,32,2025-08-27T20:31:51.000Z,,,,,,,,,
"8/27/2025, 4:34:51 PM",3.659,94.3,99.5,33,2025-08-27T20:34:51.000Z,,,,,,,,,
"8/27/2025, 4:37:51 PM",3.659,94.3,99.5,33,2025-08-27T20:37:51.000Z,,,,,,,,,
"8/27/2025, 4:40:51 PM",3.659,94.3,99.5,34,2025-08-27T20:40:51.000Z,,,,,,,,,
"8/27/2025, 4:43:51 PM",3.659,94.3,99.5,34,2025-08-27T20:43:51.000Z,,,,,,,,,
"8/27/2025, 4:46:51 PM",3.659,94.3,99.5,33,2025-08-27T20:46:51.000Z,,,,,,,,,
"8/27/2025, 4:49:51 PM",3.659,94.1,99.5,33,2025-08-27T20:49:51.000Z,,,,,,,,,
"8/27/2025, 4:52:51 PM",3.659,94.1,99.5,35,2025-08-27T20:52:51.000Z,,,,,,,,,
"8/27/2025, 4:55:51 PM",3.66,94.1,99.5,34,2025-08-27T20:55:51.000Z,,,,,,,,,
"8/27/2025, 4:58:51 PM",3.659,94.1,99.5,32,2025-08-27T20:58:51.000Z,,,,,,,,,
"8/27/2025, 5:01:51 PM",3.659,94.1,99.5,31,2025-08-27T21:01:51.000Z,,,,,,,,,
"8/27/2025, 5:04:51 PM",3.659,94.1,99.5,30,2025-08-27T21:04:51.000Z,,,,,,,,,
"8/27/2025, 5:07:51 PM",3.659,94.1,99.5,31,2025-08-27T21:07:51.000Z,,,,,,,,,
"8/27/2025, 5:10:51 PM",3.659,93.9,99.5,28,2025-08-27T21:10:51.000Z,,,,,,,,,
"8/27/2025, 5:13:51 PM",3.659,93.9,99.5,28,2025-08-27T21:13:51.000Z,,,,,,,,,
"8/27/2025, 5:16:51 PM",3.659,93.9,99.5,28,2025-08-27T21:16:51.000Z,,,,,,,,,
"8/27/2025, 5:19:51 PM",3.659,93.9,99.5,27,2025-08-27T21:19:51.000Z,,,,,,,,,
"8/27/2025, 5:22:51 PM",3.659,93.7,99.5,28,2025-08-27T21:22:51.000Z,,,,,,,,,
"8/27/2025, 5:25:51 PM",3.66,93.7,99.5,26,2025-08-27T21:25:51.000Z,,,,,,,,,
"8/27/2025, 5:28:51 PM",3.66,93.6,99.5,27,2025-08-27T21:28:51.000Z,,,,,,,,,
"8/27/2025, 5:31:51 PM",3.659,93.6,99.4,26,2025-08-27T21:31:51.000Z,,,,,,,,,
"8/27/2025, 5:34:51 PM",3.659,93.4,99.4,25,2025-08-27T21:34:51.000Z,,,,,,,,,
"8/27/2025, 5:37:51 PM",3.66,93.2,99.4,26,2025-08-27T21:37:51.000Z,,,,,,,,,
"8/27/2025, 5:40:51 PM",3.66,93.2,99.4,26,2025-08-27T21:40:51.000Z,,,,,,,,,
"8/27/2025, 5:43:51 PM",3.66,93,99.4,26,2025-08-27T21:43:51.000Z,,,,,,,,,
"8/27/2025, 5:46:51 PM",3.66,93,99.4,25,2025-08-27T21:46:51.000Z,,,,,,,,,
"8/27/2025, 5:49:51 PM",3.66,92.8,99.3,26,2025-08-27T21:49:51.000Z,,,,,,,,,
"8/27/2025, 5:52:51 PM",3.66,92.8,99.3,25,2025-08-27T21:52:51.000Z,,,,,,,,,
"8/27/2025, 5:55:51 PM",3.66,92.7,99.3,24,2025-08-27T21:55:51.000Z,,,,,,,,,
"8/27/2025, 5:58:51 PM",3.66,92.7,99.3,24,2025-08-27T21:58:51.000Z,,,,,,,,,
"8/27/2025, 6:01:51 PM",3.66,92.5,99.3,23,2025-08-27T22:01:51.000Z,,,,,,,,,
"8/27/2025, 6:04:51 PM",3.66,92.3,99.2,24,2025-08-27T22:04:51.000Z,,,,,,,,,
"8/27/2025, 6:07:51 PM",3.66,92.1,99.3,23,2025-08-27T22:07:51.000Z,,,,,,,,,
"8/27/2025, 6:10:51 PM",3.66,91.9,99.2,23,2025-08-27T22:10:51.000Z,,,,,,,,,
"8/27/2025, 6:13:51 PM",3.661,91.8,99.2,23,2025-08-27T22:13:51.000Z,,,,,,,,,
"8/27/2025, 6:16:51 PM",3.66,91.6,99.2,22,2025-08-27T22:16:51.000Z,,,,,,,,,
"8/27/2025, 6:19:51 PM",3.66,91.4,99.2,22,2025-08-27T22:19:51.000Z,,,,,,,,,
"8/27/2025, 6:22:51 PM",3.66,91.2,99.1,21,2025-08-27T22:22:51.000Z,,,,,,,,,
"8/27/2025, 6:25:51 PM",3.66,91,99.1,21,2025-08-27T22:25:51.000Z,,,,,,,,,
"8/27/2025, 6:28:51 PM",3.66,90.9,99.1,21,2025-08-27T22:28:51.000Z,,,,,,,,,
"8/27/2025, 6:31:51 PM",3.66,90.7,99,22,2025-08-27T22:31:51.000Z,,,,,,,,,
"8/27/2025, 6:34:51 PM",3.661,90.3,98.9,21,2025-08-27T22:34:51.000Z,,,,,,,,,
"8/27/2025, 6:37:51 PM",3.661,90.1,98.9,20,2025-08-27T22:37:51.000Z,,,,,,,,,
"8/27/2025, 6:40:51 PM",3.661,90,98.9,20,2025-08-27T22:40:51.000Z,,,,,,,,,
"8/27/2025, 6:43:51 PM",3.661,89.8,98.9,20,2025-08-27T22:43:51.000Z,,,,,,,,,
"8/27/2025, 6:46:51 PM",3.661,89.4,98.8,19,2025-08-27T22:46:51.000Z,,,,,,,,,
"8/27/2025, 6:49:51 PM",3.661,89.2,98.8,19,2025-08-27T22:49:51.000Z,,,,,,,,,
"8/27/2025, 6:52:51 PM",3.661,88.9,98.8,19,2025-08-27T22:52:51.000Z,,,,,,,,,
"8/27/2025, 6:55:51 PM",3.661,88.9,98.7,19,2025-08-27T22:55:51.000Z,,,,,,,,,
"8/27/2025, 6:58:51 PM",3.661,88.7,98.7,19,2025-08-27T22:58:51.000Z,,,,,,,,,
"8/27/2025, 7:01:51 PM",3.661,88.3,98.7,19,2025-08-27T23:01:51.000Z,,,,,,,,,
"8/27/2025, 7:04:51 PM",3.661,88.2,98.7,18,2025-08-27T23:04:51.000Z,,,,,,,,,
"8/27/2025, 7:07:51 PM",3.661,88,98.7,19,2025-08-27T23:07:51.000Z,,,,,,,,,
"8/27/2025, 7:10:51 PM",3.662,87.8,98.6,19,2025-08-27T23:10:51.000Z,,,,,,,,,
"8/27/2025, 7:13:51 PM",3.661,87.4,98.6,19,2025-08-27T23:13:51.000Z,,,,,,,,,
"8/27/2025, 7:16:51 PM",3.662,87.3,98.5,19,2025-08-27T23:16:51.000Z,,,,,,,,,
"8/27/2025, 7:19:51 PM",3.661,87.1,98.5,19,2025-08-27T23:19:51.000Z,,,,,,,,,
"8/27/2025, 7:22:51 PM",3.661,86.9,98.5,20,2025-08-27T23:22:51.000Z,,,,,,,,,
"8/27/2025, 7:25:51 PM",3.661,86.7,98.5,20,2025-08-27T23:25:51.000Z,,,,,,,,,
